estudo,autor,ecossistema,emissao,desvio,replicas
11,Maria,riacho,283,52.238,13
3,Antonio,riacho,292,79.927,26
10,Marcos,riacho,280,74.245,18
4,Fernanda,riacho,305,41.921,17
6,Joao,riacho,300,41.366,22
9,Marcia,lagos,772,72.388,22
2,Ana,lagos,787,44.128,12
11,Maria,lagos,767,65.88,16
5,Francisca,lagos,809,49.803,22
7,Jose,lagos,800,58.733,23
8,Lucas,lagos,804,46.219,20
11,Maria,pocas,478,51.971,20
1,Aline,pocas,490,67.438,21
2,Ana,pocas,474,32.341,21
7,Jose,pocas,507,39.897,27
11,Maria,pocas,500,70.588,27
