estudo,autor,riqueza_controle,riqueza_tratamento,ecossistema,media_controle,sd_controle,n_controle,media_tratamento,sd_tratamento,n_tratamento
11,Maria,1,3,Terrestre,2.707,0.336,9,1.343,1.336,9
3,Antonio,1,4,Aquatico,2.284,1.615,9,1.544,2.615,9
10,Marcos,1,4,Aquatico,2.692,0.770,9,1.606,1.770,9
4,Fernanda,1,5,Aquatico,3.196,0.655,7,2.114,1.655,7
6,Joao,1,5,Terrestre,3.152,1.204,7,2.766,2.204,7
9,Marcia,1,5,Terrestre,4.117,1.209,7,2.851,2.209,7
2,Ana,1,5,Aquatico,2.255,0.249,7,4.077,1.249,7
11,Maria,1,6,Aquatico,2.038,0.589,7,4.122,1.589,7
5,Francisca,1,6,Aquatico,1.781,1.155,7,5.09,2.155,7
7,Jose,1,7,Terrestre,4.267,1.262,7,5.256,2.262,7
8,Lucas,1,8,Terrestre,3.085,1.024,7,5.456,2.024,7
11,Maria,1,8,Aquatico,1.848,1.010,6,5.587,2.010,6
1,Aline,1,9,Terrestre,3.259,1.068,5,5.758,2.068,5
2,Ana,1,9,Terrestre,3.253,1.114,5,5.776,2.114,5
7,Jose,1,10,Aquatico,1.869,1.736,4,8.35,2.736,4
11,Maria,1,10,Terrestre,3.03,1.659,4,8.802,2.659,4
